country,total_vaccinations,population,normalised_vaccines
Afghanistan,2921017,39074280,748
Albania,1631921,2877239,5672
Algeria,9248920,43984569,2103
Andorra,92667,77287,11990
Angola,2691230,33032075,815
Anguilla,18952,15026,12613
Antigua and Barbuda,83251,98069,8489
Argentina,48244830,45267449,10658
Armenia,353698,2964219,1193
Aruba,132440,106845,12396
Australia,24007347,25550683,9396
Austria,10704782,9015361,11874
Azerbaijan,7862525,10154978,7743
Bahamas,167826,393893,4261
Bahrain,2514281,1711057,14694
Bangladesh,36166189,164972348,2192
Barbados,222551,287437,7743
Belarus,3155769,9448772,3340
Belgium,16448410,11598451,14182
Belize,262458,398845,6580
Benin,164162,12175480,135
Bermuda,86908,62237,13964
Bhutan,1306635,773069,16902
Bolivia,6339520,11700207,5418
Bosnia and Herzegovina,1042043,3277152,3180
Botswana,585498,2359585,2481
Brazil,219298248,212821986,10304
British Virgin Islands,16721,30266,5525
Brunei,392876,438202,8966
Bulgaria,2455659,6939018,3539
Burkina Faso,154504,20997293,74
Cambodia,21424772,16758448,12784
Cameroon,449177,26655083,169
Canada,54896627,37799407,14523
Cayman Islands,104403,65854,15854
Central African Republic,113915,4843954,235
Chad,105862,16502877,64
Chile,30701711,19144605,16037
China,2168595212,1440297825,15057
Colombia,38008413,50976248,7456
Comoros,312097,872695,3576
Congo,302660,5540555,546
Cook Islands,19630,17567,11174
Costa Rica,4701398,5102158,9215
Croatia,3350466,4100719,8170
Cuba,15754975,11325391,13911
Cyprus,1122511,1208886,9285
Denmark,8715376,5795780,15037
Djibouti,55856,990447,564
Dominica,44328,72017,6155
Dominican Republic,11581120,10866667,10657
Ecuador,20739179,17688599,11725
Egypt,11827267,102659126,1152
El Salvador,7066964,6491923,10886
Equatorial Guinea,361400,1410419,2562
Estonia,1330077,1326693,10026
Eswatini,235511,1162233,2026
Ethiopia,2582675,115434444,224
Faeroe Islands,69475,48896,14209
Falkland Islands,4933,3497,14106
Fiji,893145,897573,9951
Finland,7326174,5542237,13219
France,91580924,65298930,14025
French Polynesia,263636,281191,9376
Gabon,165688,2234448,742
Gambia,201046,2427782,828
Georgia,1616456,3987805,4053
Germany,105455551,83830972,12580
Ghana,1693478,31181428,543
Gibraltar,81788,33689,24277
Greece,11841498,10413936,11371
Greenland,73458,56787,12936
Grenada,50207,112614,4458
Guatemala,5956809,17971382,3315
Guinea,1302595,13191279,987
Guinea-Bissau,72579,1975718,367
Guyana,511037,787215,6492
Haiti,58292,11426356,51
Honduras,4507860,9931333,4539
Hong Kong,8317233,7507523,11079
Hungary,9004172,9655983,9325
Iceland,536387,341628,15701
India,782733781,1382345085,5662
Indonesia,121408973,274021604,4431
Iran,40802911,84176929,4847
Iraq,5292799,40372771,1311
Ireland,7089807,4947267,14331
Isle of Man,125786,85112,14779
Israel,14728746,8678517,16972
Italy,82065003,60446035,13577
Jamaica,663041,2963429,2237
Japan,150557586,126407422,11911
Jordan,6782425,10220604,6636
Kazakhstan,13285693,18815231,7061
Kenya,3201850,53968739,593
Kiribati,27425,119760,2290
Kuwait,2341617,4281320,5469
Kyrgyzstan,1324194,6542426,2024
Laos,4326587,7293542,5932
Latvia,1575776,1882408,8371
Lebanon,2699566,6819976,3958
Lesotho,317105,2145194,1478
Liberia,79376,5077411,156
Libya,1418931,6887247,2060
Liechtenstein,44876,38147,11764
Lithuania,3326522,2715340,12251
Luxembourg,776151,627704,12365
Macao,638495,650846,9810
Madagascar,361561,27808395,130
Malawi,975454,19211425,508
Malaysia,39942073,32436963,12314
Maldives,720198,542151,13284
Mali,386417,20346106,190
Malta,801794,441750,18150
Mauritania,320569,4669775,686
Mauritius,1608735,1272140,12646
Mexico,93858115,129166028,7266
Moldova,1352420,4032294,3354
Monaco,50072,39290,12744
Mongolia,4371893,3287242,13300
Montenegro,429762,628080,6842
Montserrat,2959,4993,5926
Morocco,37855156,36985624,10235
Mozambique,3012900,31398811,960
Myanmar,8794083,54473253,1614
Namibia,363641,2548663,1427
Nauru,15183,10836,14012
Nepal,11518832,29225196,3941
Netherlands,22162769,17141544,12929
New Caledonia,167954,285972,5873
New Zealand,4603824,4829021,9534
Nicaragua,758815,6638075,1143
Niger,546917,24346468,225
Nigeria,5957054,206984347,288
Niue,2484,1628,15258
North Macedonia,1406974,2083359,6753
Norway,7559911,5428594,13926
Oman,4510921,5128058,8797
Pakistan,72529695,221612785,3273
Panama,5020328,4326296,11604
Papua New Guinea,146051,8975531,163
Paraguay,4346295,7147553,6081
Peru,22848928,33050211,6913
Philippines,40372458,109830324,3676
Poland,36905597,37839255,9753
Portugal,15381689,10191409,15093
Qatar,4627977,2889284,16018
Romania,9915852,19214608,5161
Russia,87124570,145945524,5970
Rwanda,3034629,13005303,2333
Saint Helena,7718,6080,12694
Saint Lucia,71820,183774,3908
Samoa,135125,198643,6802
San Marino,47171,33944,13897
Saudi Arabia,40465884,34905942,11593
Senegal,1764276,16816539,1049
Serbia,6227051,8731081,7132
Seychelles,149560,98453,15191
Sierra Leone,219131,8004158,274
Singapore,9100512,5858322,15534
Slovakia,4650354,5460109,8517
Slovenia,2031183,2078989,9770
Solomon Islands,92508,689671,1341
Somalia,251152,15965848,157
South Africa,15564305,59436725,2619
South Korea,53223393,51276977,10380
South Sudan,88444,11216250,79
Spain,69098557,46757980,14778
Sri Lanka,24614871,21428970,11487
Sudan,1457160,44019263,331
Suriname,376778,587541,6413
Sweden,13276698,10110233,13132
Switzerland,10055659,8665615,11604
Syria,506163,17571053,288
Taiwan,12670232,23824369,5318
Tajikistan,3622450,9573310,3784
Tanzania,276859,60012400,46
Thailand,43080665,69830779,6169
Togo,796019,8310934,958
Tokelau,1045,1360,7684
Tonga,62183,105901,5872
Trinidad and Tobago,1013255,1400283,7236
Tunisia,6972386,11839918,5889
Turkey,105128717,84495243,12442
Turkmenistan,0,6046292,0
Tuvalu,8435,11817,7138
Uganda,1399465,45974931,304
Ukraine,11307555,43686577,2588
United Arab Emirates,18569882,9910892,18737
United Kingdom,92989012,67948282,13685
United States,383777857,331341050,11583
Uruguay,6022094,3475842,17326
Uzbekistan,16828321,33551824,5016
Vanuatu,48022,308337,1557
Venezuela,10719038,28421581,3771
Vietnam,31978237,97490013,3280
Yemen,316493,29935468,106
Zambia,634523,18468257,344
Zimbabwe,4951761,14899771,3323
