country,total_vaccinations
Afghanistan,2921017
Albania,1631921
Algeria,9248920
Andorra,92667
Angola,2691230
Anguilla,18952
Antigua and Barbuda,83251
Argentina,48244830
Armenia,353698
Aruba,132440
Australia,24007347
Austria,10704782
Azerbaijan,7862525
Bahamas,167826
Bahrain,2514281
Bangladesh,36166189
Barbados,222551
Belarus,3155769
Belgium,16448410
Belize,262458
Benin,164162
Bermuda,86908
Bhutan,1306635
Bolivia,6339520
Bonaire Sint Eustatius and Saba,28420
Bosnia and Herzegovina,1042043
Botswana,585498
Brazil,219298248
British Virgin Islands,16721
Brunei,392876
Bulgaria,2455659
Burkina Faso,154504
Cambodia,21424772
Cameroon,449177
Canada,54896627
Cape Verde,376336
Cayman Islands,104403
Central African Republic,113915
Chad,105862
Chile,30701711
China,2168595212
Colombia,38008413
Comoros,312097
Congo,302660
Cook Islands,19630
Costa Rica,4701398
Cote d'Ivoire,1658776
Croatia,3350466
Cuba,15754975
Curacao,168453
Cyprus,1122511
Czechia,11709603
Democratic Republic of Congo,127733
Denmark,8715376
Djibouti,55856
Dominica,44328
Dominican Republic,11581120
Ecuador,20739179
Egypt,11827267
El Salvador,7066964
England,77818894
Equatorial Guinea,361400
Estonia,1330077
Eswatini,235511
Ethiopia,2582675
Faeroe Islands,69475
Falkland Islands,4933
Fiji,893145
Finland,7326174
France,91580924
French Polynesia,263636
Gabon,165688
Gambia,201046
Georgia,1616456
Germany,105455551
Ghana,1693478
Gibraltar,81788
Greece,11841498
Greenland,73458
Grenada,50207
Guatemala,5956809
Guernsey,96580
Guinea,1302595
Guinea-Bissau,72579
Guyana,511037
Haiti,58292
Honduras,4507860
Hong Kong,8317233
Hungary,9004172
Iceland,536387
India,782733781
Indonesia,121408973
Iran,40802911
Iraq,5292799
Ireland,7089807
Isle of Man,125786
Israel,14728746
Italy,82065003
Jamaica,663041
Japan,150557586
Jersey,107424
Jordan,6782425
Kazakhstan,13285693
Kenya,3201850
Kiribati,27425
Kosovo,1127078
Kuwait,2341617
Kyrgyzstan,1324194
Laos,4326587
Latvia,1575776
Lebanon,2699566
Lesotho,317105
Liberia,79376
Libya,1418931
Liechtenstein,44876
Lithuania,3326522
Luxembourg,776151
Macao,638495
Madagascar,361561
Malawi,975454
Malaysia,39942073
Maldives,720198
Mali,386417
Malta,801794
Mauritania,320569
Mauritius,1608735
Mexico,93858115
Moldova,1352420
Monaco,50072
Mongolia,4371893
Montenegro,429762
Montserrat,2959
Morocco,37855156
Mozambique,3012900
Myanmar,8794083
Namibia,363641
Nauru,15183
Nepal,11518832
Netherlands,22162769
New Caledonia,167954
New Zealand,4603824
Nicaragua,758815
Niger,546917
Nigeria,5957054
Niue,2484
North Macedonia,1406974
Northern Cyprus,299269
Northern Ireland,2504237
Norway,7559911
Oman,4510921
Pakistan,72529695
Palestine,1736835
Panama,5020328
Papua New Guinea,146051
Paraguay,4346295
Peru,22848928
Philippines,40372458
Pitcairn,43
Poland,36905597
Portugal,15381689
Qatar,4627977
Romania,9915852
Russia,87124570
Rwanda,3034629
Saint Helena,7718
Saint Kitts and Nevis,47702
Saint Lucia,71820
Saint Vincent and the Grenadines,23761
Samoa,135125
San Marino,47171
Sao Tome and Principe,63649
Saudi Arabia,40465884
Scotland,7960459
Senegal,1764276
Serbia,6227051
Seychelles,149560
Sierra Leone,219131
Singapore,9100512
Sint Maarten (Dutch part),25040
Slovakia,4650354
Slovenia,2031183
Solomon Islands,92508
Somalia,251152
South Africa,15564305
South Korea,53223393
South Sudan,88444
Spain,69098557
Sri Lanka,24614871
Sudan,1457160
Suriname,376778
Sweden,13276698
Switzerland,10055659
Syria,506163
Taiwan,12670232
Tajikistan,3622450
Tanzania,276859
Thailand,43080665
Timor,657446
Togo,796019
Tokelau,1045
Tonga,62183
Trinidad and Tobago,1013255
Tunisia,6972386
Turkey,105128717
Turkmenistan,0
Turks and Caicos Islands,53104
Tuvalu,8435
Uganda,1399465
Ukraine,11307555
United Arab Emirates,18569882
United Kingdom,92989012
United States,383777857
Uruguay,6022094
Uzbekistan,16828321
Vanuatu,48022
Venezuela,10719038
Vietnam,31978237
Wales,4576771
Wallis and Futuna,9404
Yemen,316493
Zambia,634523
Zimbabwe,4951761
